date,serie,valeur
2026-05-20,FXUSDCAD,1.3334
2026-05-21,FXUSDCAD,1.3345
2026-05-22,FXUSDCAD,1.3352
2026-05-25,FXUSDCAD,1.3355
2026-05-26,FXUSDCAD,1.3354
2026-05-27,FXUSDCAD,1.3350
2026-05-28,FXUSDCAD,1.3343
2026-05-29,FXUSDCAD,1.3334
2026-06-01,FXUSDCAD,1.3323
2026-06-02,FXUSDCAD,1.3312
2026-06-03,FXUSDCAD,1.3300
2026-06-04,FXUSDCAD,1.3289
2026-06-05,FXUSDCAD,1.3280
2026-06-08,FXUSDCAD,1.3273
2026-06-09,FXUSDCAD,1.3269
2026-06-10,FXUSDCAD,1.3268
2026-06-11,FXUSDCAD,1.3271
2026-06-12,FXUSDCAD,1.3278
2026-06-15,FXUSDCAD,1.3290
2026-06-16,FXUSDCAD,1.3306
2026-06-17,FXUSDCAD,1.3327
2026-06-18,FXUSDCAD,1.3351
2026-06-19,FXUSDCAD,1.3379
2026-06-22,FXUSDCAD,1.3410
2026-06-23,FXUSDCAD,1.3443
2026-06-24,FXUSDCAD,1.3478
2026-06-25,FXUSDCAD,1.3514
2026-06-26,FXUSDCAD,1.3549
2026-06-29,FXUSDCAD,1.3585
2026-06-30,FXUSDCAD,1.3618
2026-07-01,FXUSDCAD,1.3649
2026-07-02,FXUSDCAD,1.3678
2026-07-03,FXUSDCAD,1.3703
2026-07-06,FXUSDCAD,1.3724
2026-07-07,FXUSDCAD,1.3741
2026-07-08,FXUSDCAD,1.3754
2026-07-09,FXUSDCAD,1.3762
2026-07-10,FXUSDCAD,1.3767
2026-07-13,FXUSDCAD,1.3767
2026-07-14,FXUSDCAD,1.3764
2026-07-15,FXUSDCAD,1.3759
2026-07-16,FXUSDCAD,1.3751
2026-07-17,FXUSDCAD,1.3742
2026-07-20,FXUSDCAD,1.3733
2026-07-21,FXUSDCAD,1.3723
2026-07-22,FXUSDCAD,1.3715
2026-07-23,FXUSDCAD,1.3708
2026-07-24,FXUSDCAD,1.3704
2026-07-27,FXUSDCAD,1.3703
2026-07-28,FXUSDCAD,1.3705
2026-07-29,FXUSDCAD,1.3711
2026-07-30,FXUSDCAD,1.3721
2026-07-31,FXUSDCAD,1.3735
2026-08-03,FXUSDCAD,1.3753
2026-08-04,FXUSDCAD,1.3774
2026-08-05,FXUSDCAD,1.3799
2026-08-06,FXUSDCAD,1.3827
2026-08-07,FXUSDCAD,1.3858
2026-08-10,FXUSDCAD,1.3890
2026-08-11,FXUSDCAD,1.3922
2026-08-12,FXUSDCAD,1.3955
2026-08-13,FXUSDCAD,1.3987
2026-08-14,FXUSDCAD,1.4017
2026-08-17,FXUSDCAD,1.4045
2026-08-18,FXUSDCAD,1.4070
2026-08-19,FXUSDCAD,1.4091
2026-08-20,FXUSDCAD,1.4108
2026-08-21,FXUSDCAD,1.4121
2026-08-24,FXUSDCAD,1.4130
2026-08-25,FXUSDCAD,1.4133
2026-08-26,FXUSDCAD,1.4133
2026-08-27,FXUSDCAD,1.4128
2026-08-28,FXUSDCAD,1.4120
2026-08-31,FXUSDCAD,1.4108
2026-09-01,FXUSDCAD,1.4094
2026-09-02,FXUSDCAD,1.4078
2026-09-03,FXUSDCAD,1.4061
2026-09-04,FXUSDCAD,1.4043
2026-09-07,FXUSDCAD,1.4026
2026-09-08,FXUSDCAD,1.4010
2026-09-09,FXUSDCAD,1.3997
2026-09-10,FXUSDCAD,1.3986
2026-09-11,FXUSDCAD,1.3978
2026-09-14,FXUSDCAD,1.3973
2026-09-15,FXUSDCAD,1.3972
2026-09-16,FXUSDCAD,1.3976
2026-09-17,FXUSDCAD,1.3983
2026-09-18,FXUSDCAD,1.3993
2026-09-21,FXUSDCAD,1.4007
2026-09-22,FXUSDCAD,1.4024
2026-09-23,FXUSDCAD,1.4044
2026-09-24,FXUSDCAD,1.4064
2026-09-25,FXUSDCAD,1.4086
2026-09-28,FXUSDCAD,1.4108
2026-09-29,FXUSDCAD,1.4129
2026-09-30,FXUSDCAD,1.4149
2026-10-01,FXUSDCAD,1.4166
2026-10-02,FXUSDCAD,1.4181
2026-10-05,FXUSDCAD,1.4192
2026-10-06,FXUSDCAD,1.4199
2026-10-07,FXUSDCAD,1.4202
2026-10-08,FXUSDCAD,1.4200
2026-10-09,FXUSDCAD,1.4194
2026-10-12,FXUSDCAD,1.4183
2026-10-13,FXUSDCAD,1.4168
2026-10-14,FXUSDCAD,1.4149
2026-10-15,FXUSDCAD,1.4126
2026-10-16,FXUSDCAD,1.4101
2026-10-19,FXUSDCAD,1.4073
2026-10-20,FXUSDCAD,1.4045
2026-10-21,FXUSDCAD,1.4015
2026-10-22,FXUSDCAD,1.3987
2026-10-23,FXUSDCAD,1.3959
2026-10-26,FXUSDCAD,1.3933
2026-10-27,FXUSDCAD,1.3909
2026-10-28,FXUSDCAD,1.3889
2026-10-29,FXUSDCAD,1.3872
2026-10-30,FXUSDCAD,1.3858
2026-11-02,FXUSDCAD,1.3849
2026-11-03,FXUSDCAD,1.3844
2026-11-04,FXUSDCAD,1.3842
2026-11-05,FXUSDCAD,1.3844
2026-11-06,FXUSDCAD,1.3850
2026-11-09,FXUSDCAD,1.3857
2026-11-10,FXUSDCAD,1.3867
2026-11-11,FXUSDCAD,1.3878
2026-11-12,FXUSDCAD,1.3890
2026-11-13,FXUSDCAD,1.3901
2026-11-16,FXUSDCAD,1.3911
2026-11-17,FXUSDCAD,1.3920
2026-11-18,FXUSDCAD,1.3926
2026-11-19,FXUSDCAD,1.3928
2026-11-20,FXUSDCAD,1.3927
2026-11-23,FXUSDCAD,1.3922
2026-11-24,FXUSDCAD,1.3913
2026-11-25,FXUSDCAD,1.3899
2026-11-26,FXUSDCAD,1.3881
2026-11-27,FXUSDCAD,1.3859
2026-11-30,FXUSDCAD,1.3833
2026-12-01,FXUSDCAD,1.3804
2026-12-02,FXUSDCAD,1.3772
2026-12-03,FXUSDCAD,1.3737
2026-12-04,FXUSDCAD,1.3702
2026-12-07,FXUSDCAD,1.3666
2026-12-08,FXUSDCAD,1.3630
2026-12-09,FXUSDCAD,1.3596
2026-12-10,FXUSDCAD,1.3563
2026-12-11,FXUSDCAD,1.3533
2026-12-14,FXUSDCAD,1.3506
2026-12-15,FXUSDCAD,1.3483
2026-12-16,FXUSDCAD,1.3464
2026-12-17,FXUSDCAD,1.3449
2026-12-18,FXUSDCAD,1.3438
2026-12-21,FXUSDCAD,1.3431
2026-12-22,FXUSDCAD,1.3429
2026-12-23,FXUSDCAD,1.3430
2026-12-24,FXUSDCAD,1.3434
2026-12-25,FXUSDCAD,1.3440
2026-12-28,FXUSDCAD,1.3448
2026-12-29,FXUSDCAD,1.3458
2026-12-30,FXUSDCAD,1.3467
2026-12-31,FXUSDCAD,1.3477
2023-12-31,FXAUSDCAD,1.3870
2024-12-31,FXAUSDCAD,1.3654
2025-12-31,FXAUSDCAD,1.3636
2026-12-31,FXAUSDCAD,1.3600
